Td	ID	Tj	Df	Dd	Db
1	1	1	0	0	0
1	2	1	0	0	0
1	6	1	0	0	0
4	11	4	0	0	0
4	12	4	0	0	0
4	9	4	0	0	0
5	14	4	0	1	1
5	8	4	0	1	1
5	13	4	0	1	1
5	5	1	3	1	4
6	19	6	0	0	0
6	20	6	0	0	0
6	15	6	0	0	0
6	17	6	0	0	0
7	21	6	0	1	1
9	22	9	0	0	0
9	23	9	0	0	0
9	24	9	0	0	0
9	25	9	0	0	0
9	26	9	0	0	0
9	28	9	0	0	0
10	27	9	0	1	1
12	30	12	0	0	0
12	33	12	0	0	0
12	35	12	0	0	0
12	31	12	0	0	0
14	29	12	0	2	2
14	38	13	0	1	1
14	39	13	0	1	1
15	48	15	0	0	0
15	41	13	0	2	2
15	44	15	0	0	0
15	43	15	0	0	0
15	46	15	0	0	0
16	47	15	1	0	1
16	49	15	0	1	1
16	3	1	3	12	15
16	53	16	0	0	0
17	45	15	0	2	2
17	50	16	0	1	1
17	51	16	0	1	1
17	52	16	0	1	1
18	16	6	0	12	12
18	57	18	0	0	0
18	58	18	0	0	0
19	42	13	0	6	6
19	55	16	1	2	3
19	59	18	0	1	1
19	60	18	0	1	1
19	62	18	0	1	1
20	18	6	0	14	14
20	67	19	0	1	1
20	63	18	2	0	2
21	69	19	1	1	2
21	70	19	1	1	2
21	68	19	1	1	2
22	72	22	0	0	0
22	74	22	0	0	0
22	77	22	0	0	0
23	76	22	0	1	1
25	83	25	0	0	0
25	81	25	0	0	0
25	79	25	0	0	0
28	86	28	0	0	0
28	85	28	0	0	0
29	91	28	0	1	1
29	87	28	0	1	1
29	88	28	0	1	1
31	93	31	0	0	0
31	95	31	0	0	0
31	96	31	0	0	0
31	94	31	0	0	0
32	99	32	0	0	0
32	97	31	0	1	1
33	92	31	0	2	2
33	102	32	0	1	1
33	103	32	0	1	1
33	105	32	0	1	1
33	75	22	0	11	11
34	90	28	0	6	6
34	54	16	0	18	18
36	106	36	0	0	0
36	107	36	0	0	0
36	108	36	0	0	0
36	112	36	0	0	0
36	110	36	0	0	0
36	109	36	0	0	0
45	114	45	0	0	0
45	115	45	0	0	0
46	119	45	0	1	1
46	116	45	0	1	1
46	124	46	0	0	0
47	121	46	0	1	1
47	122	46	0	1	1
47	125	46	0	1	1
47	126	46	0	1	1
47	118	45	0	2	2
50	131	50	0	0	0
50	129	50	0	0	0
50	133	50	0	0	0
57	139	57	0	0	0
57	137	57	0	0	0
58	134	57	0	1	1
58	65	19	0	39	39
58	101	32	0	26	26
58	135	57	0	1	1
58	138	57	0	1	1
58	140	57	0	1	1
60	142	60	0	0	0
60	143	60	0	0	0
60	146	60	0	0	0
61	147	60	0	1	1
61	3000	61	0	0	0
61	141	60	0	1	1
61	144	60	0	1	1
61	145	60	0	1	1
62	3003	61	0	62	1
62	3004	61	0	62	1
62	3005	61	0	62	1
62	3006	61	0	62	1
62	3001	61	0	1	1
62	3002	61	0	62	1
66	150	66	0	0	0
66	151	66	0	0	0
67	154	66	0	1	1
69	157	69	0	0	0
69	155	69	0	0	0
70	160	69	0	1	1
70	156	69	0	1	1
70	167	70	0	0	0
71	170	71	0	0	0
71	162	70	0	1	1
71	168	70	0	1	1
71	165	70	0	1	1
72	166	70	0	2	2
72	169	71	0	1	1
72	171	71	0	1	1
72	172	71	0	1	1
72	173	71	0	1	1
72	174	71	0	1	1
73	164	70	0	3	3
73	159	69	0	4	4
73	152	66	0	7	7
73	130	50	0	23	23
74	175	71	0	3	3
76	180	76	0	0	0
76	179	76	0	0	0
76	181	76	0	0	0
76	182	76	0	0	0
77	176	76	1	0	1
77	104	32	0	45	45
77	120	46	0	31	31
77	123	46	0	31	31
77	128	50	0	27	27
77	177	76	0	1	1
78	100	32	0	46	46
78	178	76	0	2	2
78	98	31	0	47	47
79	113	45	0	34	34
85	183	85	0	0	0
85	184	85	0	0	0
85	185	85	0	0	0
85	188	85	0	0	0
86	187	85	0	1	1
86	186	85	0	1	1
87	193	87	0	0	0
87	194	87	0	0	0
87	195	87	0	0	0
87	192	87	0	0	0
88	196	87	0	1	1
89	200	89	0	0	0
89	198	89	0	0	0
90	199	89	0	1	1
90	201	89	0	1	1
90	210	90	0	0	0
91	205	90	0	1	1
91	206	90	0	1	1
91	207	90	0	1	1
91	204	90	0	1	1
92	211	92	0	0	0
92	214	92	0	0	0
93	217	92	0	1	1
93	212	92	0	1	1
93	203	89	0	4	4
93	209	90	0	3	3
93	189	85	0	8	8
93	34	12	0	81	81
93	219	93	0	0	0
93	221	93	0	0	0
94	224	93	0	1	1
94	215	92	0	2	2
95	227	95	0	0	0
95	230	95	0	0	0
95	231	95	0	0	0
95	226	95	0	0	0
95	228	95	0	0	0
96	213	92	0	4	4
96	220	93	0	3	3
96	7	1	0	95	95
96	229	95	0	1	1
98	232	98	0	0	0
98	235	98	0	0	0
98	236	98	0	0	0
98	234	98	0	0	0
99	241	99	0	0	0
99	233	98	0	1	1
99	32	12	0	87	87
99	4	1	0	98	98
99	10	4	0	95	95
99	237	98	0	1	1
99	242	99	0	0	0
99	243	99	0	0	0
99	239	99	0	0	0
100	245	99	0	1	1
100	248	100	0	0	0
101	253	101	0	0	0
101	238	98	0	3	3
101	240	99	0	2	2
101	222	93	0	8	8
101	61	18	0	83	83
101	132	50	0	51	51
101	127	50	0	51	51
101	259	101	0	0	0
102	262	102	0	0	0
102	252	100	1	1	2
102	264	102	0	0	0
103	267	103	0	0	0
103	254	101	1	1	2
103	272	103	0	0	0
103	270	103	0	0	0
104	278	104	0	0	0
104	260	102	0	2	2
104	280	104	0	0	0
105	263	102	1	2	3
105	265	102	1	2	3
105	266	102	1	2	3
105	247	100	0	5	5
106	255	101	1	4	5
106	256	101	1	4	5
107	271	103	1	3	4
107	273	103	1	3	4
107	261	102	2	3	5
107	249	100	0	7	7
107	163	70	0	37	37
107	89	28	0	79	79
107	190	87	0	20	20
107	281	107	0	0	0
107	284	107	0	0	0
107	285	107	0	0	0
108	64	19	0	89	89
108	277	104	2	2	4
108	71	22	0	86	86
108	66	19	0	89	89
108	148	66	0	42	42
108	250	100	2	6	8
109	269	103	1	5	6
109	246	100	0	9	9
109	158	69	0	40	40
109	286	107	2	0	2
109	287	107	2	0	2
110	283	107	2	1	3
111	288	111	0	0	0
111	289	111	0	0	0
111	290	111	0	0	0
111	294	111	0	0	0
112	292	111	0	1	1
112	291	111	0	1	1
112	296	112	0	0	0
112	293	111	0	1	1
113	299	112	0	1	1
113	300	112	0	1	1
113	307	113	0	0	0
114	297	112	0	2	2
114	302	113	0	1	1
114	303	113	0	1	1
114	304	113	0	1	1
114	306	113	0	1	1
115	309	114	0	1	1
115	310	114	0	1	1
115	311	114	0	1	1
115	314	114	0	1	1
115	313	114	0	1	1
116	312	114	0	2	2
119	317	119	0	0	0
120	320	119	0	1	1
120	321	119	0	1	1
120	322	119	0	1	1
120	316	119	0	1	1
120	319	119	0	1	1
125	329	125	0	0	0
125	324	125	0	0	0
125	325	125	0	0	0
126	327	125	0	1	1
126	323	125	0	1	1
